rxn_id	startingmat_1_smiles	startingmat_2_smiles	product_1_smiles	cluster
L913	Fc1cccnc1Cl	CC(C)(C)OC(=O)N[C@H]1CC[C@H](Nc2ccc3ncc(-c4cnc(N)nc4)n3n2)CC1	CC(C)(C)OC(=O)N[C@H]1CC[C@H](Nc2ccc3ncc(-c4cnc(Nc5ncccc5F)nc4)n3n2)CC1	62
L11797	CCOC(=O)c1cc2c(Br)ccc(F)c2[nH]1	COc1cccc(N)c1	CCOC(=O)c1cc2c(Nc3cccc(OC)c3)ccc(F)c2[nH]1	63
L9683	CC(C)n1cc(-c2nc(Cl)ncc2F)c2cccnc21	CCN1CCN(C(=O)c2ccc(N)nc2)CC1	CCN1CCN(C(=O)c2ccc(Nc3ncc(F)c(-c4cn(C(C)C)c5ncccc45)n3)nc2)CC1	64
L13271	FC(F)(F)Oc1cccc(Nc2nc(Cl)ncc2Cl)c1	COc1cc([N+](=O)[O-])ccc1N	COc1cc([N+](=O)[O-])ccc1Nc1ncc(Cl)c(Nc2cccc(OC(F)(F)F)c2)n1	65
L13187	Cn1ccc2ccc(-c3cc(Cl)cc4nccnc34)cc21	Nc1ccccc1S(=O)(=O)N1CCOCC1	Cn1ccc2ccc(-c3cc(Nc4ccccc4S(=O)(=O)N4CCOCC4)cc4nccnc34)cc21	66
L12955	COc1ccc(Nc2nc(Cl)cc(N3CCCCC3)n2)cc1	COc1ccc(N)cc1F	COc1ccc(Nc2nc(Nc3ccc(OC)c(F)c3)cc(N3CCCCC3)n2)cc1	67
L11250	Cc1nc2c(F)cc(-c3nc(Cl)ncc3F)cc2n1C(C)C	Nc1ccc(OCc2ccccn2)c(Cl)c1	Cc1nc2c(F)cc(-c3nc(Nc4ccc(OCc5ccccn5)c(Cl)c4)ncc3F)cc2n1C(C)C	68
L5183	COC(=O)c1sc2cc(OC)ccc2c1Br	COc1cc(N)cc(OC)c1OC	COC(=O)c1sc2cc(OC)ccc2c1Nc1cc(OC)c(OC)c(OC)c1	69
L12513	CCCCn1c(Cl)c(C(C)=O)c2ccccc21	NC(=O)c1ccccc1	CCCCn1c(NC(=O)c2ccccc2)c(C(C)=O)c2ccccc21	70
L11671	Brc1ccccn1	Nc1ccccc1C1=N[C@@H](c2ccccc2)CO1	c1ccc([C@H]2COC(c3ccccc3Nc3ccccn3)=N2)cc1	71
L11588	N#Cc1ncc(Br)cc1NC1CCNC1	COc1ccc(CN)c(OC)c1	COc1ccc(CNc2cnc(C#N)c(NC3CCNC3)c2)c(OC)c1	72
L10887	Clc1ccccc1	Cc1ccc(S(N)(=O)=O)cc1	Cc1ccc(S(=O)(=O)Nc2ccccc2)cc1	73
L10621	Cc1ccc(CNC(=O)c2cccc(C(C)Oc3ccnc(Br)c3)c2)cc1	Cn1cc(N)cn1	Cc1ccc(CNC(=O)c2cccc(C(C)Oc3ccnc(Nc4cnn(C)c4)c3)c2)cc1	74
L7958	COc1cc(OC)c(Cl)c(COc2cnc(Cl)nc2)c1Cl	CC(C)(C)OC(=O)Nc1cccc(Cl)c1N	COc1cc(OC)c(Cl)c(COc2cnc(Nc3c(Cl)cccc3NC(=O)OC(C)(C)C)nc2)c1Cl	75
L7026	FC(F)(F)c1cccc(Cc2ccnc(Cl)c2)c1	COC(=O)c1cccc(N)c1C	COC(=O)c1cccc(Nc2cc(Cc3cccc(C(F)(F)F)c3)ccn2)c1C	76
L11258	COC(=O)c1ccc(Br)cc1	CCCCCCN	CCCCCCNc1ccc(C(=O)OC)cc1	77
L8623	COc1cc(OC)c(Cl)c(-c2ccc3nc(Cl)ncc3c2)c1Cl	Cc1cccc([N+](=O)[O-])c1N	COc1cc(OC)c(Cl)c(-c2ccc3nc(Nc4c(C)cccc4[N+](=O)[O-])ncc3c2)c1Cl	78
L8402	Cc1ccc(-n2nc(C)c3cnc(Cl)cc32)cc1	C[C@H](N)c1ccccc1	Cc1ccc(-n2nc(C)c3cnc(N[C@@H](C)c4ccccc4)cc32)cc1	79
L8313	Cc1cccc(Br)n1	CCOc1cccnc1N	CCOc1cccnc1Nc1cccc(C)n1	80
L4520	CC(=O)OC[C@H]1O[C@@H](n2cnc3c(Cl)nc(Cl)nc32)[C@H](OC(C)=O)[C@@H]1OC(C)=O	CC(C)C(N)=O	CC(=O)OC[C@H]1O[C@@H](n2cnc3c(NC(=O)C(C)C)nc(Cl)nc32)[C@H](OC(C)=O)[C@@H]1OC(C)=O	81
