rxn_id	ligand_1_name	ligand_1_cas	ligand_1_smiles	startingmat_1_cas	startingmat_1_smiles	startingmat_2_cas	startingmat_2_smiles	product_1_smiles	product_1_yield
AN-018	L-018	1219080-77-9	CN(C)C1=CC=CC=C1P([C@]23C[C@H]4C[C@H](C[C@H](C4)C3)C2)[C@]56C[C@H]7C[C@H](C[C@H](C7)C6)C5	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	0
AN-019	L-019	97739-46-3	CC1(O2)CC(O3)(C)OC2(C)CC3(C)P1C4=CC=CC=C4	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	0
AN-020	L-020		CC(P(C1=C(N2C=CC=C2)C=CC=C1)C(C)(C)C)(C)C	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	0
AN-021	L-021	247940-06-3	C1(C2=CC=CC=C2)=C(P(C3CCCCC3)C4CCCCC4)C=CC=C1	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	5.6
AN-022	L-022	1036373-39-3	C=1C=CC(=CC1)P([C-]23[CH]4=[CH]5[CH]6=[CH]2[Fe+2]56789%1043[CH]=%11[CH]%10=[CH]9[C-]8(P(C%12CCCCC%12)C%13CCCCC%13)[CH]%117)[C-]%14%15[CH]%16=[CH]%17[CH]%18=C%14(C(N(C)C)C)[Fe+2]%19%20%21%22%17%18%16%15[CH]=%23[CH]%22=[CH]%21[CH-]%20[CH]%23%19	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	4.2
AN-023	L-023	1481698-44-5	C1(N2C=CC=C2)=C(P(C3CCCCC3)C4CCCCC4)C=CC=C1	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	2.4
AN-024	L-024	434336-16-0	C1(P(C2CCCCC2)C3CCCCC3)=C(OC4=C(P(C5CCCCC5)C6CCCCC6)C=CC=C4)C=CC=C1	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	21.4
AN-025	L-025	12150-46-8	C=1C=CC(=CC1)P(C=2C=CC=CC2)[C-]34[CH]5=[CH]6[CH]7=[CH]3[Fe+2]6789%10%1154[CH]=%12[CH]%11=[CH]%10[C-]9(P(C=%13C=CC=CC%13)C=%14C=CC=CC%14)[CH]%128	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	28.2
AN-026	L-026	166330-10-5	C1(P(C2=CC=CC=C2)C3=CC=CC=C3)=C(OC4=C(P(C5=CC=CC=C5)C6=CC=CC=C6)C=CC=C4)C=CC=C1	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	72.8
AN-027	L-027	161265-03-8	CC1(C)C2=C(C(P(C3=CC=CC=C3)C4=CC=CC=C4)=CC=C2)OC5=C(P(C6=CC=CC=C6)C7=CC=CC=C7)C=CC=C51	1904-31-0	CN1N=C(N)C=C1	3970-39-6	O=N(=O)C=1C=CC=C(OC)C1Cl	CN1N=C(NC2=C(OC)C=CC=C2[N+]([O-])=O)C=C1	0
