,symbol_slice_1,symbol_slice_2,symbol_slice_3,symbol_slice_4,symbol_slice_5,symbol_slice_6,symbol_slice_7,symbol_slice_8,symbol_slice_9,symbol_slice_10,disp_slice_1,disp_slice_2,disp_slice_3,disp_slice_4,disp_slice_5,disp_slice_6,disp_slice_7,disp_slice_8,disp_slice_9,disp_slice_10,pol_slice_1,pol_slice_2,pol_slice_3,pol_slice_4,pol_slice_5,pol_slice_6,pol_slice_7,pol_slice_8,pol_slice_9,pol_slice_10,charge_slice_1,charge_slice_2,charge_slice_3,charge_slice_4,charge_slice_5,charge_slice_6,charge_slice_7,charge_slice_8,charge_slice_9,charge_slice_10,covCN_slice_1,covCN_slice_2,covCN_slice_3,covCN_slice_4,covCN_slice_5,covCN_slice_6,covCN_slice_7,covCN_slice_8,covCN_slice_9,covCN_slice_10,f+_slice_1,f+_slice_2,f+_slice_3,f+_slice_4,f+_slice_5,f+_slice_6,f+_slice_7,f+_slice_8,f+_slice_9,f+_slice_10,f-_slice_1,f-_slice_2,f-_slice_3,f-_slice_4,f-_slice_5,f-_slice_6,f-_slice_7,f-_slice_8,f-_slice_9,f-_slice_10,f0_slice_1,f0_slice_2,f0_slice_3,f0_slice_4,f0_slice_5,f0_slice_6,f0_slice_7,f0_slice_8,f0_slice_9,f0_slice_10,max_bond_order_slice_1,max_bond_order_slice_2,max_bond_order_slice_3,max_bond_order_slice_4,max_bond_order_slice_5,max_bond_order_slice_6,max_bond_order_slice_7,max_bond_order_slice_8,max_bond_order_slice_9,max_bond_order_slice_10,C_rdf_slice_1,C_rdf_slice_2,C_rdf_slice_3,C_rdf_slice_4,C_rdf_slice_5,C_rdf_slice_6,C_rdf_slice_7,C_rdf_slice_8,C_rdf_slice_9,C_rdf_slice_10,N_rdf_slice_1,N_rdf_slice_2,N_rdf_slice_3,N_rdf_slice_4,N_rdf_slice_5,N_rdf_slice_6,N_rdf_slice_7,N_rdf_slice_8,N_rdf_slice_9,N_rdf_slice_10,S_rdf_slice_1,S_rdf_slice_2,S_rdf_slice_3,S_rdf_slice_4,S_rdf_slice_5,S_rdf_slice_6,S_rdf_slice_7,S_rdf_slice_8,S_rdf_slice_9,S_rdf_slice_10,O_rdf_slice_1,O_rdf_slice_2,O_rdf_slice_3,O_rdf_slice_4,O_rdf_slice_5,O_rdf_slice_6,O_rdf_slice_7,O_rdf_slice_8,O_rdf_slice_9,O_rdf_slice_10,F_rdf_slice_1,F_rdf_slice_2,F_rdf_slice_3,F_rdf_slice_4,F_rdf_slice_5,F_rdf_slice_6,F_rdf_slice_7,F_rdf_slice_8,F_rdf_slice_9,F_rdf_slice_10
nuc1,47.32872759999999,52.30973439999999,37.3054528,26.154867199999998,41.15914879999999,31.730159999999998,5.5752928000000015,0.0,0.0,0.0,51.491,55.653,36.43300000000001,31.587,57.531000000000006,34.036,2.614,0.0,0.0,0.0,18.125999999999998,20.363999999999997,16.273,11.363,17.59,13.858,2.528,0.0,0.0,0.0,-0.016000000000000014,-0.031,0.06899999999999999,-0.012,-0.061,0.025,0.028,0.0,0.0,0.0,8.138,8.575,5.699999999999999,3.8499999999999996,5.838,4.772,0.926,0.0,0.0,0.0,0.052000000000000005,0.154,0.187,0.14400000000000002,0.107,0.259,0.1,0.0,0.0,0.0,0.291,0.15,0.152,0.08199999999999999,0.059,0.182,0.082,0.0,0.0,0.0,0.172,0.152,0.16899999999999998,0.11299999999999999,0.08299999999999999,0.22000000000000003,0.091,0.0,0.0,0.0,3.944,4.361,4.385,2.412,2.891,3.382,0.972,0.0,0.0,0.0,1.0,2.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc2,47.32872759999999,40.865128550399994,20.579574399999995,26.154867199999998,36.178141999999994,26.154867199999998,5.5752928000000015,0.0,0.0,0.0,51.574,53.294,28.369,28.59,55.248,29.035,2.357,0.0,0.0,0.0,18.832,17.561,8.735,10.722999999999999,16.423000000000002,10.895,2.401,0.0,0.0,0.0,0.38499999999999995,-0.41200000000000003,-0.014,0.135,-0.244,0.10400000000000001,0.047,0.0,0.0,0.0,7.109999999999999,4.7540000000000004,2.929,3.8440000000000003,4.747999999999999,3.841,0.925,0.0,0.0,0.0,0.195,0.28600000000000003,0.05,0.09,0.132,0.14900000000000002,0.098,0.0,0.0,0.0,0.165,0.29900000000000004,0.018,0.084,0.241,0.092,0.099,0.0,0.0,0.0,0.18,0.293,0.034,0.086,0.186,0.121,0.099,0.0,0.0,0.0,4.8180000000000005,4.067,1.449,2.416,2.9050000000000002,2.4050000000000002,0.964,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc3,47.32872759999999,37.3054528,5.5752928000000015,21.173860400000002,52.30973439999999,5.5752928000000015,52.30973439999999,37.3054528,5.5752928000000015,0.0,52.147000000000006,28.256000000000004,3.041,27.548,46.304,2.996,48.119,29.276000000000003,2.601,0.0,18.241000000000003,13.975999999999999,2.727,9.943999999999999,18.088,2.707,18.098,14.146,2.522,0.0,-0.04999999999999999,0.10300000000000001,0.001,-0.154,0.063,0.004,-0.034,0.037000000000000005,0.029,0.0,8.081,6.533000000000001,0.922,3.654,9.383,0.922,9.463999999999999,6.579000000000001,0.924,0.0,0.256,0.19,0.058,0.156,0.075,0.048,0.044000000000000004,0.131,0.04,0.0,0.20299999999999999,0.133,0.075,0.21500000000000002,0.07699999999999999,0.093,0.052000000000000005,0.10300000000000001,0.048,0.0,0.23,0.163,0.067,0.186,0.07500000000000001,0.07,0.049,0.118,0.044,0.0,3.985,3.9189999999999996,0.964,1.9769999999999999,3.944,0.963,3.9719999999999995,3.9399999999999995,0.978,0.0,1.0,1.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc4,47.32872759999999,37.3054528,5.5752928000000015,21.173860400000002,52.30973439999999,57.88502719999999,20.285554150400003,5.5752928000000015,0.0,0.0,52.146,28.253999999999998,2.882,27.477,46.63399999999999,46.311,21.746000000000002,2.389,0.0,0.0,18.233999999999998,13.964,2.655,9.899000000000001,18.047,20.000999999999998,8.361,2.417,0.0,0.0,-0.04799999999999999,0.10500000000000001,0.011,-0.148,0.048,0.267,-0.276,0.045,0.0,0.0,8.082,6.520000000000001,0.923,3.652,9.373999999999999,10.197,2.624,0.924,0.0,0.0,0.22299999999999998,0.165,0.049,0.16399999999999998,0.063,0.144,0.13,0.061,0.0,0.0,0.178,0.11900000000000001,0.064,0.19999999999999998,0.068,0.145,0.16,0.065,0.0,0.0,0.2,0.14200000000000002,0.057,0.182,0.066,0.145,0.14500000000000002,0.063,0.0,0.0,3.9859999999999998,3.9170000000000003,0.965,1.9769999999999999,3.948,4.880999999999999,1.9569999999999999,0.971,0.0,0.0,1.0,1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc5,47.32872759999999,37.3054528,5.5752928000000015,21.173860400000002,52.30973439999999,11.150585600000003,5.5752928000000015,0.0,0.0,0.0,52.163,28.365,2.757,27.302,47.842999999999996,5.309,2.452,0.0,0.0,0.0,18.241,14.038,2.597,9.858,18.275,5.0920000000000005,2.449,0.0,0.0,0.0,-0.04999999999999999,0.091,0.018,-0.13799999999999998,-0.013000000000000005,0.052,0.04,0.0,0.0,0.0,8.081,6.5360000000000005,0.923,3.649,9.282,1.848,0.925,0.0,0.0,0.0,0.306,0.21100000000000002,0.067,0.18000000000000002,0.049,0.11599999999999999,0.071,0.0,0.0,0.0,0.21300000000000002,0.17099999999999999,0.102,0.238,0.049,0.162,0.066,0.0,0.0,0.0,0.26,0.189,0.084,0.20900000000000002,0.048999999999999995,0.139,0.068,0.0,0.0,0.0,3.984,3.918,0.965,1.9979999999999998,3.989,1.9569999999999999,0.982,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc6,47.32872759999999,57.88502719999999,114.64274359999999,46.73444159999999,155.20760639999997,145.7786176,78.46460159999998,48.4560384,5.5752928000000015,0.0,51.556,54.27,147.526,58.049,205.63300000000004,184.04399999999998,94.23200000000001,42.356,2.698,0.0,18.087,21.689,50.00000000000001,19.797,66.488,63.053,33.975,21.544,2.569,0.0,-0.012000000000000038,0.28400000000000003,-0.195,0.05700000000000001,-0.12000000000000002,-0.11400000000000002,-0.01100000000000001,0.08700000000000001,0.022,0.0,8.138,9.472000000000001,17.21,6.751,22.409,21.224999999999994,11.542,7.543,0.926,0.0,0.016,0.06,0.115,0.037000000000000005,0.17600000000000002,0.223,0.158,0.179,0.035,0.0,0.089,0.073,0.12200000000000001,0.023,0.124,0.17500000000000002,0.121,0.224,0.051,0.0,0.053,0.067,0.11900000000000001,0.03,0.149,0.198,0.13899999999999998,0.202,0.043,0.0,3.9299999999999997,5.26,9.801,3.768,11.991000000000001,12.534,7.242,6.2829999999999995,0.971,0.0,1.0,2.0,4.0,2.0,7.0,6.0,3.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc7,47.32872759999999,57.88502719999999,88.48787639999999,67.31401599999998,125.19904319999998,108.47316479999998,121.34534719999998,145.7786176,74.6109056,117.49165119999998,51.442,54.28400000000001,116.084,86.847,155.17499999999998,145.56,132.85000000000002,161.806,58.059999999999995,92.929,18.08,21.822,38.732000000000006,28.604000000000003,54.291,46.333,52.68400000000001,56.36899999999999,28.195,45.186,-0.007000000000000062,0.264,-0.196,0.025,-0.08099999999999999,-0.08500000000000002,0.10600000000000001,-0.15599999999999997,0.10700000000000001,0.024999999999999994,8.14,9.475,13.358,9.682,18.305999999999997,15.653,18.225,23.950999999999997,13.216000000000003,20.535000000000007,0.02,0.078,0.073,0.054,0.188,0.10400000000000001,0.20500000000000002,0.1,0.09,0.08700000000000001,0.07200000000000001,0.05899999999999999,0.094,0.024,0.13399999999999998,0.071,0.174,0.14700000000000002,0.12200000000000001,0.103,0.046,0.069,0.083,0.038,0.161,0.08700000000000001,0.189,0.123,0.106,0.09399999999999999,3.979,5.272,7.335999999999999,5.2219999999999995,11.138,8.078999999999999,12.550999999999998,11.168999999999999,7.855,12.824,1.0,2.0,3.0,3.0,5.0,5.0,4.0,6.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc8,47.32872759999999,40.865128550399994,11.150585600000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.516999999999996,47.983000000000004,4.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.84,15.63,4.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.38499999999999995,-0.5279999999999999,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.101,5.54,1.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.474,0.31200000000000006,0.214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32399999999999995,0.468,0.208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.399,0.39,0.212,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.843,3.683,1.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc9,51.1782348,29.4205227008,31.730159999999998,5.5752928000000015,0.0,0.0,0.0,0.0,0.0,0.0,137.29799999999997,49.911,28.765,1.841,0.0,0.0,0.0,0.0,0.0,0.0,28.777,13.396,11.510000000000002,2.122,0.0,0.0,0.0,0.0,0.0,0.0,1.0640000000000003,-1.1030000000000002,-0.05500000000000001,0.094,0.0,0.0,0.0,0.0,0.0,0.0,7.964,1.72,5.598,0.926,0.0,0.0,0.0,0.0,0.0,0.0,0.48300000000000004,0.228,0.192,0.097,0.0,0.0,0.0,0.0,0.0,0.0,0.47700000000000004,0.236,0.191,0.096,0.0,0.0,0.0,0.0,0.0,0.0,0.47900000000000004,0.232,0.191,0.097,0.0,0.0,0.0,0.0,0.0,0.0,4.519,3.284,2.949,0.977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nuc10,51.1782348,45.0190903008,26.154867199999998,37.3054528,11.150585600000003,0.0,0.0,0.0,0.0,0.0,133.622,79.038,23.678,27.817,4.64,0.0,0.0,0.0,0.0,0.0,28.449,21.405,8.992,13.472999999999999,4.761,0.0,0.0,0.0,0.0,0.0,1.2129999999999999,-1.462,0.0020000000000000018,0.14700000000000002,0.101,0.0,0.0,0.0,0.0,0.0,8.193,4.448,4.766,6.602,1.8490000000000002,0.0,0.0,0.0,0.0,0.0,0.454,0.328,-0.007999999999999993,0.11,0.11699999999999999,0.0,0.0,0.0,0.0,0.0,0.241,0.298,0.015000000000000006,0.21700000000000003,0.22799999999999998,0.0,0.0,0.0,0.0,0.0,0.347,0.313,0.003999999999999997,0.163,0.173,0.0,0.0,0.0,0.0,0.0,4.458,4.199,1.988,3.9299999999999997,1.9569999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
