name,smiles,type,sites
nuc2182,CC(C)(C)OC(=O)N1CCCC(NC(=O)c2cccc(N)c2)C1,nuc,20
nuc2183,CCN1CCN(c2ccc(N)cc2F)CC1,nuc,10
nuc2184,Nc1ccnc(-c2ccnc(C(F)(F)F)c2)c1,nuc,0
nuc2185,Cc1cc(N)ccc1N1CCC(N2CCN(C)CC2)CC1,nuc,4
nuc2186,CN1CCN(C2CCN(c3ccc(N)cn3)CC2)CC1,nuc,13
nuc2187,CS(=O)(=O)CCCOc1ccc(N)cc1,nuc,12
nuc2188,Nc1cccc(NCc2ccccc2)n1,nuc,0
nuc2189,NC(=O)c1c2n(c3c(N4CCN(CCc5ccc(F)c(F)c5)CC4)ncnc13)CCCC2,nuc,0
nuc2190,NS(=O)(=O)N1CCOCC1,nuc,0
nuc2191,Cc1cccc(NC(=O)c2nc(C)ccc2N)n1,nuc,16
nuc2192,NCCn1cccc1,nuc,0
nuc2193,Cc1cc(C)c(S(=O)(=O)N[C@@H](C)CN)c(C)c1,nuc,13
nuc2194,CC(OCCN)(C(F)(F)F)C(F)(F)F,nuc,5
nuc2195,NCCCCNc1ccccc1,nuc,0
nuc2196,Nc1ncc2c3ccncc3n(C3CCCC3)c2n1,nuc,0
nuc2197,CC(C)(C)CCc1cc(C(F)(F)F)ccc1CNC(N)=O,nuc,19
nuc2198,CNCCN,nuc,4
nuc2199,CC(C)(C)OC(=O)n1cc(CC(N)=O)c2ccccc21,nuc,12
nuc2200,NCc1nnc2ccc(-c3cccc(F)c3)nn12,nuc,0
nuc2201,Nc1nc2ccnn2cc1F,nuc,0
nuc2202,Nc1ccc(C(=O)c2ccccc2)cc1,nuc,0
nuc2203,CCCC(C)N,nuc,5
nuc2204,Cc1nccc(N)n1,nuc,6
nuc2205,CN1CCC(CNS(=O)(=O)c2ccccc2N)C1,nuc,16
nuc2206,CCOC(=O)COc1cccc(N)c1,nuc,12
nuc2207,CN(C)CC(=O)Nc1ccc(N)cc1,nuc,11
nuc2208,Nc1ccc(NC(=O)C2(C(=O)Nc3cccc(O)c3)CC2)cc1,nuc,0
