name,smiles,type,sites
nuc382,Cc1cc(N)c(C(C)C)cc1C1CCN(C(=O)OC(C)(C)C)CC1,nuc,4
nuc383,CS(=O)(=O)c1cccc(N)c1,nuc,9
nuc384,CC(C)n1nc(N)cc1C1CCN(C(=O)OC(C)(C)C)CC1,nuc,6
nuc385,CC(C)(C)OC(=O)N1CCC(c2cc(N)nn2CC2CCC2)CC1,nuc,14
nuc386,CC(C)(C)OC(=O)N1CC(c2cc(N)nn2C2CCCC2)C1,nuc,13
nuc387,CC(C)(C)OC(=O)N1CCC(c2cc(N)nn2C2CCCC2)CC1,nuc,14
nuc388,N#Cc1cc2cc(N)ccn2c1,nuc,7
nuc389,Cc1cn2cc(C#N)cc2cc1N,nuc,12
nuc390,Cc1c(N)ccn2cc(C#N)cc12,nuc,3
nuc391,Cc1cn2cc(C#N)cc2c(C)c1N,nuc,13
nuc392,N#Cc1cc2cc(N)c(F)cn2c1,nuc,7
nuc393,N#Cc1cc2c(F)c(N)c(F)cn2c1,nuc,8
nuc394,N#Cc1ccc2cc(N)ccc2c1,nuc,8
nuc395,Cc1c(N)ccc2cc(C#N)ccc12,nuc,3
nuc396,Cc1cc2cc(C#N)ccc2c(C)c1N,nuc,14
nuc397,N#Cc1ccc2c(F)c(N)ccc2c1,nuc,9
nuc398,N#Cc1ccc2c(F)c(N)c(F)cc2c1,nuc,9
nuc399,COC1CCN(c2nccc(N)n2)CC1,nuc,11
nuc400,CC(C)(C)OC(=O)Nc1ncc(-c2nc(N3CCOCC3)c3ccc(N)cc3n2)cn1,nuc,25
nuc401,CC(C)(C)OC(=O)Nc1ncc(-c2nc(N3CCOCC3)c3cccc(N)c3n2)cn1,nuc,26
nuc402,CC(C)(C)OC(=O)Nc1cc(C(F)(F)F)c(-c2nc(N3CCOCC3)c3ccc(N)cc3n2)cn1,nuc,29
nuc403,CC(C)(C)OC(=O)n1c(N)nc2ccccc21,nuc,9
nuc404,Cc1cc(C#N)cc(F)c1N,nuc,10
nuc405,CC(C)(C)OC(=O)NCCCCN,nuc,12
nuc406,CC(C)(C)[C@H]1COC(c2cccnc2N)=N1,nuc,14
nuc407,CC(C)[C@H]1COC(c2cccnc2N)=N1,nuc,13
nuc408,Nc1ncccc1C1=N[C@H](Cc2ccccc2)CO1,nuc,0
nuc409,NC(=O)Nc1ccccc1,nuc,0
nuc410,CC[C@H](N)C(=O)N(C)C,nuc,3
nuc411,CCC[C@H](N)C(=O)N(C)C,nuc,4
nuc412,CC(C)[C@H](N)C(=O)N(C)C,nuc,4
nuc413,CN(C)C(=O)[C@@H](N)CO,nuc,6
nuc414,COC[C@H](N)C(=O)N(C)C,nuc,4
nuc415,CN(C)C(=O)CN,nuc,6
nuc416,NCCOc1ccccc1,nuc,0
nuc417,Nc1ccncc1C(=O)NC1CC1,nuc,0
nuc418,COC(=O)c1cnccc1N,nuc,10
nuc419,Cc1nn(COCC[Si](C)(C)C)c2cc(N)ccc12,nuc,15
nuc420,CCOC(=O)c1nc(N)co1,nuc,8
nuc421,CCOC(=O)c1nc(N)cs1,nuc,8
nuc422,Nc1nc(CC(=O)O)cs1,nuc,0
nuc423,Nc1ccc2ncccc2c1,nuc,0
nuc424,NC(=O)c1ccc(-c2cccnc2)cc1,nuc,0
nuc425,Nc1ccc(-c2cccnc2)cc1,nuc,0
nuc426,COc1ccc(-c2ccc(N)cc2)nn1,nuc,10
nuc427,NCCNc1ccccc1,nuc,0
nuc428,CC(C)CCN,nuc,5
nuc429,CC(C)=CCN,nuc,5
nuc430,NCc1ccco1,nuc,0
nuc431,CC(C)(C)OC(=O)Nc1sccc1C(N)=O,nuc,14
nuc432,COc1ccc(NC(=O)CNC(=O)OC(C)(C)C)cc1N,nuc,20
nuc433,CC(C)(C)OC(=O)NCC(=O)Nc1cccc(N)c1,nuc,17
nuc434,CC(C)(C)OC(=O)NCC(=O)Nc1ccc(F)c(N)c1,nuc,18
nuc435,CC(C)(C)OC(=O)N1CCCC(CN)C1,nuc,13
nuc436,CC(CCN)NCCC12CC3CC(CC(C3)C1)C2,nuc,4
nuc437,CC(C)(C)[Si](C)(C)OCCN,nuc,10
nuc438,Nc1cncc(C(F)(F)F)c1,nuc,0
nuc439,Nc1nccc(C(F)(F)F)n1,nuc,0
nuc440,Nc1cc(C(F)(F)F)ccn1,nuc,0
nuc441,COC(=O)N1CCC(Cc2cccc([C@H](N)CC#N)c2)CC1,nuc,15
nuc442,COC(=O)N1CCC(Sc2cccc([C@H](N)CC#N)c2)CC1,nuc,15
nuc443,COC(=O)N1CCC(S(=O)(=O)c2cccc([C@H](N)CC#N)c2)CC1,nuc,17
nuc444,COC(=O)N1CC[C@@H](Oc2cccc([C@H](N)CC#N)c2)C1,nuc,15
nuc445,COC(=O)N1CC[C@H](Oc2cccc([C@H](N)CC#N)c2)C1,nuc,15
nuc446,COC(=O)N1CCN(Cc2cccc([C@H](N)CC#N)c2)C(=O)C1,nuc,15
nuc447,N#CC[C@@H](N)c1cccc(CC2=CCN(C(=O)OCc3ccccc3)C2)c1,nuc,4
nuc448,COC(=O)N1CCC(Cc2cccc([C@H](N)CC#N)c2)(C(=O)OC)CC1,nuc,15
nuc449,Nc1cc(-c2ccccc2)ccc1F,nuc,0
nuc450,Cc1ccc(-c2ccccc2)cc1N,nuc,13
nuc451,COc1ccc(-c2ccccc2)cc1N,nuc,14
nuc452,Nc1ccc(F)cn1,nuc,0
nuc453,Nc1cc(F)ccn1,nuc,0
nuc454,Nc1ncc(F)cc1F,nuc,0
nuc455,Cn1nnnc1N,nuc,6
nuc456,Cn1ncnc1N,nuc,6
nuc457,CCOC(=O)c1ccnc(N)c1,nuc,10
nuc458,NC1CCC(F)(F)CC1,nuc,0
nuc459,CCOC(=O)c1ccc(N)nc1,nuc,9
nuc460,COc1ccnc(N)c1,nuc,7
nuc461,COc1ccc(N)nc1,nuc,6
nuc462,Nc1ccncn1,nuc,0
nuc463,COc1cccc(N)n1,nuc,7
nuc464,COc1cccnc1N,nuc,8
nuc465,CS(=O)(=O)c1ccc(N)cc1,nuc,8
nuc466,Nc1ccc(O)cn1,nuc,0
nuc467,CS(=O)(=O)c1ccc(N)nc1,nuc,8
nuc468,COc1ccc(Cn2nc(N)c3ncccc32)cc1,nuc,10
nuc469,Nc1cccc(NC(=O)c2cccc(C(F)(F)F)c2)c1,nuc,0
nuc470,Nc1cccc(C(=O)Nc2cccc(C(F)(F)F)c2)c1,nuc,0
nuc471,CCOC(=O)c1ccc(N)cc1,nuc,9
nuc472,Cc1ccc(CN2CCOCC2)cc1NC(=O)c1ccc(N)cc1,nuc,21
nuc473,COc1ccc(Cn2nc(N)c3nccnc32)cc1,nuc,10
nuc474,Nc1ccc(N2CCN(CC3CC3)CC2)cn1,nuc,0
