name,smiles,type,sites
nuc2582,CCOc1cc(CN2CCC(O)(CN)CC2)cc(OCC)c1-c1ccc(F)cc1,nuc,13
nuc2583,CCOc1cc(CN2CCC(F)(CN)CC2)cc(OCC)c1-c1ccc(F)cc1,nuc,13
nuc2584,CCOc1cc(CN2CC(CN)C2)cc(OCC)c1-c1ccc(F)cc1,nuc,11
nuc2585,C#CC1(c2ccc(N)cc2)CCCC1,nuc,7
nuc2586,NC(=O)c1ccc2cccnc2c1OCc1ccccc1,nuc,0
nuc2587,Nc1cccc(-c2nc3ccccc3s2)c1,nuc,0
nuc2588,CO[C@]1(c2cccc(N)n2)C[C@H](C)CC[C@H]1C(C)C,nuc,8
nuc2589,N[C@H]1CC[C@H](O)CC1,nuc,0
nuc2590,C=CC(N)=O,nuc,3
nuc2591,CC(C)(C)OC(=O)CN,nuc,8
nuc2592,NCCCCCC(=O)O,nuc,0
nuc2593,CCOC(=O)c1cnc(N)o1,nuc,9
nuc2594,Cc1ccc([N+](=O)[O-])c(N)c1,nuc,9
nuc2595,Nc1ccc(-c2ccccn2)cc1,nuc,0
nuc2596,CC(C)(C)OC(=O)N(N)c1ccc(F)cc1,nuc,8
nuc2597,NC1Cc2ccccc2C1,nuc,0
nuc2598,Nc1ccccc1C1=N[C@H](Cc2ccccc2)CO1,nuc,0
nuc2599,Cc1nn2c(N)c(C#N)cnc2c1C,nuc,5
nuc2600,Cc1nc(C)c(-c2nsc(N)n2)s1,nuc,10
nuc2601,CNc1cc(N)ncn1,nuc,5
nuc2602,N#Cc1cc(N)ncn1,nuc,5
nuc2603,CN(C)c1cc(N)ncn1,nuc,6
nuc2604,Nc1cc(N2CCCC2)ncn1,nuc,0
nuc2605,Nc1cc(N2CCC(O)CC2)ncn1,nuc,0
nuc2606,Nc1cc(N2CCN(C3COC3)CC2)ncn1,nuc,0
nuc2607,Nc1cc(N2CCN(CCO)CC2)ncn1,nuc,0
nuc2608,Cc1nc(N)cc(N(C)C)n1,nuc,4
nuc2609,Cc1cc(N)nc(N(C)C)n1,nuc,4
nuc2610,C[C@H](N)c1ccc(-c2ccccc2)cc1,nuc,2
nuc2611,CN1CCN(Cc2ccc(N)nc2)CC1,nuc,10
nuc2612,CCN1CCN(Cc2ccc(N)nc2C)CC1,nuc,11
nuc2613,Cc1nc(N)ccc1CN1CCN(C)CC1,nuc,4
nuc2614,C[C@@H]1CN(c2ccc(C(N)=O)cc2)C[C@H](C)N1C(=O)OC(C)(C)C,nuc,9
nuc2615,CC1CN(c2ccc(C(N)=O)cc2)CCN1C(=O)OC(C)(C)C,nuc,9
nuc2616,CC(C)(C)OC(=O)NC1(COc2ccc(C(N)=O)cc2)CC1,nuc,16
nuc2617,COc1cc(OCCN(C)C)ccc1N,nuc,14
nuc2618,CN(Cc1cncnc1)S(=O)(=O)c1ccccc1N,nuc,18
nuc2619,Nc1ccccc1S(=O)(=O)N1CCOCC1,nuc,0
nuc2620,CC(C)(C)OC(=O)N1CCC(F)(CN)CC1,nuc,13
nuc2621,Nc1ncc(-c2ccccc2)cn1,nuc,0
nuc2622,Nc1ncc(-c2cccc(F)c2)cn1,nuc,0
nuc2623,Nc1ncc(-c2ccc(F)cc2)cn1,nuc,0
nuc2624,COc1cccc(-c2cnc(N)nc2)c1,nuc,11
nuc2625,COc1ccc(-c2cnc(N)nc2)cc1,nuc,10
nuc2626,Nc1ncc(-c2cccnc2)cn1,nuc,0
nuc2627,Nc1ncc(-c2ccncc2)cn1,nuc,0
nuc2628,Nc1ncc(-c2cccs2)cn1,nuc,0
nuc2629,Nc1ncc(-c2ccco2)cn1,nuc,0
nuc2630,Cn1cc(-c2cnc(N)nc2)cn1,nuc,8
nuc2631,COc1nc(N)ncc1-c1cnn(C)c1,nuc,5
nuc2632,CNc1nc(N)ncc1-c1ccccc1,nuc,5
nuc2633,CNc1nc(N)ncc1-c1cccc(F)c1,nuc,5
nuc2634,CNc1nc(N)ncc1-c1ccc(F)cc1,nuc,5
nuc2635,CNc1nc(N)ncc1-c1ccccc1F,nuc,5
nuc2636,CNc1nc(N)ncc1-c1cccc(OC)c1,nuc,5
