name,smiles,type,sites
nuc982,Nc1ccc(-c2ccc(C(F)(F)F)cc2)cc1,nuc,0
nuc983,CC(CN)C12CC3CC(CC(C3)C1)C2,nuc,3
nuc984,CCC(CN)C12CC3CC(CC(C3)C1)C2,nuc,4
nuc985,CC(N)C12CC3CC(CC(C3)C1)C2,nuc,2
nuc986,COC(N)=O,nuc,3
nuc987,CCOC(CN)OCC,nuc,5
nuc988,CO[C@H]1O[C@H](COCc2ccccc2)[C@@H](N)[C@H](OCc2ccccc2)[C@H]1OCc1ccccc1,nuc,15
nuc989,CC(C)(C)OC(=O)N(N)c1ccc([N+](=O)[O-])cc1,nuc,8
nuc990,COc1cc(N)cc(S(=O)(=O)c2ccccc2)c1,nuc,5
nuc991,Cc1c(SCC(C)C)cc(N)cc1S(=O)(=O)c1ccccc1,nuc,10
nuc992,NS(=O)(=O)c1ccccc1,nuc,0
nuc993,NS(=O)(=O)c1ccccc1OC(F)(F)F,nuc,0
nuc994,Nc1nccnn1,nuc,0
nuc995,CC(C)(C)OC(=O)N(N)c1ccc2ccccc2c1,nuc,8
nuc996,Nc1c(F)cc(N(Cc2ccccc2)Cc2ccccc2)cc1F,nuc,0
nuc997,Cc1sc2c(N)cccc2c1C,nuc,5
nuc998,CCOC(=O)c1sc(-c2ccccc2)cc1N,nuc,16
nuc999,Nc1ccc2cccnc2c1,nuc,0
nuc1000,Cc1cc(N)n(C)n1,nuc,4
nuc1001,COc1ccc(C(=O)NCc2ccc(N)c(C)c2)cc1,nuc,14
nuc1002,Nc1ccc2[nH]ncc2c1,nuc,0
nuc1003,COc1cc(N[C@@H]2CCCC[C@H]2N)nc2ccccc12,nuc,12
nuc1004,NC(=O)c1ccc([N+](=O)[O-])cc1,nuc,0
nuc1005,CCCCNC(N)=O,nuc,6
nuc1006,Cc1ccc(-c2ccccc2)c(N[C@@H](c2ccccc2)[C@@H](N)c2ccccc2)c1,nuc,21
nuc1007,Nc1cc2ccccc2oc1=O,nuc,0
nuc1008,CC(C)(C)[Si](C)(C)OC[C@@H](N)c1ccccc1,nuc,10
nuc1009,COc1cc(N)ccc1-n1cnc(C)c1,nuc,5
nuc1010,Cc1ccc(S(=O)(=O)Nc2ccc(N)cc2)cc1,nuc,13
nuc1011,CC(C)(C)[C@H]1COC(c2ccccc2N)=N1,nuc,14
nuc1012,NCc1ccccn1,nuc,0
nuc1013,CC(C)[C@H]1COC(c2ccccc2N)=N1,nuc,13
nuc1014,N#Cc1cnc2cc(C3CC3)nn2c1N,nuc,14
nuc1015,Nc1cc(N2CCOCC2)cc(N2CCOCC2)c1,nuc,0
nuc1016,CC(C)c1ccccc1N[C@H](c1cccc2ccccc12)[C@H](N)c1cccc2ccccc12,nuc,22
nuc1017,Cc1cc(N)c2ncc3ccccc3c2c1,nuc,4
nuc1018,Nc1ccc(O)cc1,nuc,0
nuc1019,C=CC(=O)Nc1cccc(N)n1,nuc,10
nuc1020,CC(C)CS(N)(=O)=O,nuc,5
nuc1021,CCCCCCCCS(N)(=O)=O,nuc,9
nuc1022,CCS(N)(=O)=O,nuc,3
nuc1023,CCCS(N)(=O)=O,nuc,4
nuc1024,CCCCS(N)(=O)=O,nuc,5
nuc1025,Cn1cnc(-c2ccc(N)nc2)c1,nuc,9
nuc1026,CC(C)(C)c1cc(N)c2ncc3ccccc3c2c1,nuc,7
nuc1027,Cc1cc(N)c2ncccc2c1,nuc,4
nuc1028,COc1cc(N)ccc1N1CCC(N2CCN(C)CC2)CC1,nuc,5
nuc1029,Nc1ccc(F)cc1C1=N[C@@H]2c3ccccc3C[C@@H]2O1,nuc,0
nuc1030,CCc1cc(N)c(OC)cc1N1CCC2(CC1)CN(C)C2,nuc,5
nuc1031,COc1cc(N2CC3(CCN(C)CC3)C2)c(C)cc1N,nuc,19
nuc1032,COc1cc(N2CCC3(CC2)CC(N(C)C)C3)ccc1N,nuc,20
nuc1033,CN(C)CCn1cc2ccc(N)cc2n1,nuc,11
nuc1034,Cn1nc2cc(N)ccc2c1N1CC(CO)C1,nuc,6
nuc1035,CCc1cc(N)c(OC)cc1N1CC2(CCN(C)CC2)C1,nuc,5
nuc1036,Cn1nc2cc(N)ccc2c1N1CC(C(C)(C)O)C1,nuc,6
nuc1037,CN1CCC2(CC1)CN(c1c3ccc(N)cc3nn1C)C2,nuc,14
nuc1038,COc1ccc2c(c1)nc(N)n2C,nuc,10
nuc1039,Cn1c(C(F)(F)F)nc2ccc(N)cc21,nuc,12
nuc1040,Cn1ccc2ccc(N)cc21,nuc,8
nuc1041,Cn1cc2ccc(N)cc2n1,nuc,7
nuc1042,Cc1cnc2ccc(N)cn12,nuc,8
nuc1043,Nc1ccc2nc(C(F)(F)F)[nH]c2c1,nuc,0
nuc1044,CN1CCN(c2ccc(N)cc2F)CC1,nuc,9
nuc1045,C=CCN,nuc,3
nuc1046,CCCNCCN,nuc,6
