name,smiles,type,sites
nuc182,Nc1ccc2c(c1)CCN2S(=O)(=O)c1ccc(C(F)(F)F)cc1,nuc,0
nuc183,COc1ccc(CN)cc1,nuc,7
nuc184,CS(=O)(=O)Cc1cccc(N)c1,nuc,10
nuc185,Nc1ccc(C(=O)Nc2ccccc2)cc1,nuc,0
nuc186,N#Cc1ccc(N)cc1,nuc,6
nuc187,CC(C)(C)S(N)=O,nuc,5
nuc188,CC(C)(F)c1ncncc1CN,nuc,11
nuc189,COc1ncncc1CN,nuc,9
nuc190,NCc1cncnc1OCC(F)F,nuc,0
nuc191,CC(C)(C)Oc1ncncc1CN,nuc,12
nuc192,CNc1nc(N)ncc1C(F)(F)F,nuc,5
nuc193,CC(C)(CN)c1ccc(F)cc1,nuc,4
nuc194,NCc1ccc(F)cc1,nuc,0
nuc195,CCc1ccc(F)c(N)c1,nuc,8
nuc196,CC(C)Nc1cc(N)c(F)cn1,nuc,7
nuc197,CC(C)Oc1cc(N)c(F)cc1C#N,nuc,7
nuc198,Cc1cc(N)n[nH]1,nuc,4
nuc199,CN1CCN(C(=O)c2ccc(N)cc2)CC1,nuc,11
nuc200,CN1CCC(Oc2ccc(N)cc2)CC1,nuc,10
nuc201,Cc1cc(N)sn1,nuc,4
nuc202,Cn1cc(N)cn1,nuc,4
nuc203,NS(=O)(=O)c1ccc(F)cc1,nuc,0
nuc204,COc1ccc(N)cc1F,nuc,6
nuc205,NCc1cccc(F)c1,nuc,0
nuc206,NCc1ccccc1F,nuc,0
nuc207,Nc1cnc2cccnn12,nuc,0
nuc208,NC12CC3CC(CC(C3)C1)C2,nuc,0
nuc209,Nc1cccc2c1OC(F)(F)C(F)(F)O2,nuc,0
nuc210,CC(C)(C)c1csc(N)n1,nuc,8
nuc211,Nc1ccc(OC(F)(F)F)cc1,nuc,0
nuc212,Nc1cccc(O)c1,nuc,0
nuc213,Nc1cccc(-c2cnco2)c1,nuc,0
nuc214,CC(C)(C)OC(=O)N[C@H]1CC[C@@](O)(C(N)=O)CC1,nuc,14
nuc215,Cc1ccc(NC(N)=O)cn1,nuc,7
nuc216,COc1ccc(N)cc1OC,nuc,6
nuc217,N#Cc1cnc(N)cn1,nuc,6
nuc218,Nc1ccc(Oc2ccccc2)cc1,nuc,0
nuc219,Cc1cccc(C)c1N,nuc,8
nuc220,Nc1cc(C(F)(F)F)ccc1N1CCOCC1,nuc,0
nuc221,Cc1cc(C)nc(N)n1,nuc,7
nuc222,Nc1cnccn1,nuc,0
nuc223,Cc1csc(N)n1,nuc,5
nuc224,Cc1ccc(N)cc1C,nuc,5
nuc225,Cc1ccc(Nc2nccc3c(N)cccc23)cc1C,nuc,12
nuc226,Nc1cccc2c(Nc3cccc(C(F)(F)F)c3)nccc12,nuc,0
nuc227,Cc1c(N)cnn1C1COC1,nuc,3
nuc228,NS(=O)(=O)N1CCC1,nuc,0
nuc229,NC1CCNCC1,nuc,0
nuc230,CCc1ccc(/N=C2\S/C(=C\c3ccnc(N)c3)C(=O)N2C)cc1,nuc,16
nuc231,Nc1nnc(C2CC2)s1,nuc,0
nuc232,Cc1ccc(C(=O)Nc2cccc(C(F)(F)F)c2)cc1N,nuc,20
nuc233,CC(C)(C)OC(=O)N1CC[C@@H](N)C1,nuc,11
nuc234,NC1CCN(C(=O)OCc2ccccc2)CC1,nuc,0
nuc235,NC1CCCN(C(=O)OCc2ccccc2)C1,nuc,0
nuc236,Nc1ccc(-c2ccccc2)cn1,nuc,0
nuc237,NS(=O)(=O)c1c(F)cccc1F,nuc,0
nuc238,NCc1cncnc1C(F)(F)F,nuc,0
nuc239,N#Cc1ccc(N)cn1,nuc,6
nuc240,N#Cc1ccc(N)nc1,nuc,6
nuc241,Nc1ccc(N2CCn3nccc3C2)cc1,nuc,0
nuc242,CN1CCc2ccc(N)cc2C1,nuc,8
nuc243,Nc1ccc(C(=O)NC2CC2)cc1,nuc,0
nuc244,Cn1nc(N)ccc1=O,nuc,4
nuc245,NC(=O)COc1ccc(OC(F)(F)F)cc1,nuc,0
nuc246,CC(C)(C)OC(=O)N1CCC(C#Cc2ccc(N)cn2)CC1,nuc,17
nuc247,CC(C)(C)OC(=O)N1CCN(c2ccc(N)cn2)CC1,nuc,15
nuc248,COc1ccc(C)c(N)c1C,nuc,8
nuc249,CC(C)(C)OC(=O)N1CCC(c2ccc(N)cc2)CC1,nuc,15
nuc250,CCC(C)N,nuc,4
nuc251,CC(C)CN,nuc,4
nuc252,CCCCC(N)=O,nuc,5
nuc253,CC(C)CC(N)=O,nuc,5
nuc254,NC(=O)C1CCCCN1,nuc,0
nuc255,NC(=O)C1CCCN1,nuc,0
nuc256,CCN,nuc,2
nuc257,Nc1cc(-c2ccccc2)c2ccccc2n1,nuc,0
nuc258,CCCCCCN,nuc,6
nuc259,CC(C)(CN)CN1CCCC1,nuc,4
nuc260,CCCN,nuc,3
nuc261,CN(C)CC(C)(C)CN,nuc,8
nuc262,C[C@@H](NC(=O)OC(C)(C)C)C(N)=O,nuc,11
nuc263,COCC(N)COC,nuc,4
nuc264,CC(N)CN(C)C,nuc,2
nuc265,CC1(C)CC(CCN)(c2ccccc2)CCO1,nuc,7
nuc266,CC1(C)CC(CCN)(c2cccs2)CCO1,nuc,7
nuc267,CC1(C)CC(CCN)(c2ccccc2)CC(C)(C)S1,nuc,7
nuc268,CC1(C)CC(CCN)(c2ccc(F)cc2)CCO1,nuc,7
nuc269,CC1(C)CC(CCN)(c2cccc(F)c2)CCO1,nuc,7
nuc270,CC1(C)CC(CCN)(c2ccccc2)CC(C)(C)O1,nuc,7
nuc271,CC1(C)CC(CCN)(c2ccccc2)CC(C)(C)N1,nuc,7
nuc272,Cc1cccc(-c2ccccc2)c1N[C@@H](c1ccccc1)[C@@H](N)c1ccccc1,nuc,22
nuc273,N#Cc1ccccc1N,nuc,8
nuc274,CC(C)(C)OC(=O)N1CCC(COc2nc(N)cnc2C#N)CC1,nuc,16
