rxn_id	startingmat_1_smiles	startingmat_2_smiles	product_1_smiles
L12082	O=[N+]([O-])c1ccc2c(Br)ccnc2c1	CCN(CC)CCCN	CCN(CC)CCCNc1ccnc2cc([N+](=O)[O-])ccc12
L12083	Fc1cc(F)c2nccc(Br)c2c1	CCN(CC)CCCC(C)N	CCN(CC)CCCC(C)Nc1ccnc2c(F)cc(F)cc12
L12084	Fc1ccc(-c2nn3c(Cl)cccc3c2-c2ccnnc2)cc1	NC1CCCC1	Fc1ccc(-c2nn3c(NC4CCCC4)cccc3c2-c2ccnnc2)cc1
L12085	N#CCc1c(-c2ccc(F)cc2)nn2c(Cl)cccc12	NC1CCCC1	N#CCc1c(-c2ccc(F)cc2)nn2c(NC3CCCC3)cccc12
L12086	CC(C)(C)OC(=O)N1CCC(c2cccc(Br)n2)CC1	CCCN	CCCNc1cccc(C2CCN(C(=O)OC(C)(C)C)CC2)n1
L12087	CC(C)(C)OC(=O)N1CCC(c2cccc(Br)n2)CC1	CCN	CCNc1cccc(C2CCN(C(=O)OC(C)(C)C)CC2)n1
L12088	Clc1cccnc1	Cn1cc(N)c(=O)n(C)c1=O	Cn1cc(Nc2cccnc2)c(=O)n(C)c1=O
L12092	O=[N+]([O-])c1ccccc1Br	COc1ccc(CN)cc1	COc1ccc(CNc2ccccc2[N+](=O)[O-])cc1
L12094	CC(C)(C)c1ccc(-c2ccnc(Br)c2)cc1	Nc1ccc2c(c1)OCCO2	CC(C)(C)c1ccc(-c2ccnc(Nc3ccc4c(c3)OCCO4)c2)cc1
L12095	CC(C)n1cnc2c(Cl)nc(F)nc21	NC(=O)c1ccccc1O	CC(C)n1cnc2c(NC(=O)c3ccccc3O)nc(F)nc21
L12096	CC(C)n1cnc2c(Cl)nc(F)nc21	COc1ccc(C(N)=O)cc1	COc1ccc(C(=O)Nc2nc(F)nc3c2ncn3C(C)C)cc1
L12097	CC(C)n1cnc2c(Cl)nc(F)nc21	CC(C)CC(N)=O	CC(C)CC(=O)Nc1nc(F)nc2c1ncn2C(C)C
L12099	CC(=O)c1ccccc1Br	NC(=O)c1ccccc1	CC(=O)c1ccccc1NC(=O)c1ccccc1
L12100	Cn1ccc2c(Br)ncc(Br)c21	Nc1cccc(Cl)c1	Cn1ccc2c(Nc3cccc(Cl)c3)ncc(Br)c21
L12101	Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1/C=C/n1cnc2c(Cl)ncnc21	Nc1cccnc1	Cc1ccc(NC(=O)c2cccc(C(F)(F)F)c2)cc1/C=C/n1cnc2c(Nc3cccnc3)ncnc21
L12104	O=C(O)c1ccc(Cl)cc1	CCCCN	CCCCNc1ccc(C(=O)O)cc1
L12107	COc1cc2ncnc(Cl)c2cc1OC	CN1CCN(c2ccc3nc(N)sc3c2)CC1	COc1cc2ncnc(Nc3nc4ccc(N5CCN(C)CC5)cc4s3)c2cc1OC
L12108	CN1CCN(c2ccc(C#N)c(Cl)c2)CC1	NCc1ccccc1	CN1CCN(c2ccc(C#N)c(NCc3ccccc3)c2)CC1
L12109	COc1ccc(N2CCN(C)CC2)cc1Cl	NCc1ccco1	COc1ccc(N2CCN(C)CC2)cc1NCc1ccco1
L12110	Nc1nc2ccc(Br)cc2s1	COc1cc2ncnc(Cl)c2cc1OC	COc1cc2ncnc(Nc3nc4ccc(Br)cc4s3)c2cc1OC
L12111	CO[C@]1(c2cccc(Br)n2)C[C@H](C)CC[C@H]1C(C)C	Nc1ccccn1	CO[C@]1(c2cccc(Nc3ccccn3)n2)C[C@H](C)CC[C@H]1C(C)C
L12112	COC(c1cccc(Br)n1)C(C)(C)C	Nc1ccccn1	COC(c1cccc(Nc2ccccn2)n1)C(C)(C)C
